/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu601-22
alexnet 1 0 1 1 0 600
you asked for all points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999018  29.99999018] [130.00000982  30.00000982]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999035  29.99999035] [130.00000965  30.00000965]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999052  29.99999052] [130.00000948  30.00000948]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999069  29.99999069] [130.00000931  30.00000931]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999085  29.99999085] [130.00000915  30.00000915]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999101  29.99999101] [130.00000899  30.00000899]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999117  29.99999117] [130.00000883  30.00000883]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999133  29.99999133] [130.00000867  30.00000867]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999148  29.99999148] [130.00000852  30.00000852]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999163  29.99999163] [130.00000837  30.00000837]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999178  29.99999178] [130.00000822  30.00000822]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999192  29.99999192] [130.00000808  30.00000808]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999207  29.99999207] [130.00000793  30.00000793]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999221  29.99999221] [130.00000779  30.00000779]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999234  29.99999234] [130.00000766  30.00000766]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999248  29.99999248] [130.00000752  30.00000752]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999261  29.99999261] [130.00000739  30.00000739]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999274  29.99999274] [130.00000726  30.00000726]
