/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
gpu504-37
alexnet 1 3 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999015  29.99999015] [130.00000985  30.00000985]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.9999903  29.9999903] [130.0000097  30.0000097]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999045  29.99999045] [130.00000955  30.00000955]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.9999906  29.9999906] [130.0000094  30.0000094]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999074  29.99999074] [130.00000926  30.00000926]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999088  29.99999088] [130.00000912  30.00000912]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999102  29.99999102] [130.00000898  30.00000898]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999116  29.99999116] [130.00000884  30.00000884]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999129  29.99999129] [130.00000871  30.00000871]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999142  29.99999142] [130.00000858  30.00000858]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999155  29.99999155] [130.00000845  30.00000845]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999168  29.99999168] [130.00000832  30.00000832]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999181  29.99999181] [130.00000819  30.00000819]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999194  29.99999194] [130.00000806  30.00000806]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999206  29.99999206] [130.00000794  30.00000794]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999218  29.99999218] [130.00000782  30.00000782]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.9999923  29.9999923] [130.0000077  30.0000077]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999242  29.99999242] [130.00000758  30.00000758]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999253  29.99999253] [130.00000747  30.00000747]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999265  29.99999265] [130.00000735  30.00000735]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999276  29.99999276] [130.00000724  30.00000724]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99999287  29.99999287] [130.00000713  30.00000713]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999298  29.99999298] [130.00000702  30.00000702]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999308  29.99999308] [130.00000692  30.00000692]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999319  29.99999319] [130.00000681  30.00000681]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999329  29.99999329] [130.00000671  30.00000671]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.9999934  29.9999934] [130.0000066  30.0000066]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.9999935  29.9999935] [130.0000065  30.0000065]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.9999936  29.9999936] [130.0000064  30.0000064]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999369  29.99999369] [130.00000631  30.00000631]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999379  29.99999379] [130.00000621  30.00000621]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999388  29.99999388] [130.00000612  30.00000612]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99999398  29.99999398] [130.00000602  30.00000602]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99999407  29.99999407] [130.00000593  30.00000593]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99999416  29.99999416] [130.00000584  30.00000584]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999425  29.99999425] [130.00000575  30.00000575]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99999434  29.99999434] [130.00000566  30.00000566]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999442  29.99999442] [130.00000558  30.00000558]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999451  29.99999451] [130.00000549  30.00000549]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.99999459  29.99999459] [130.00000541  30.00000541]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999467  29.99999467] [130.00000533  30.00000533]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.99999475  29.99999475] [130.00000525  30.00000525]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99999483  29.99999483] [130.00000517  30.00000517]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99999491  29.99999491] [130.00000509  30.00000509]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99999499  29.99999499] [130.00000501  30.00000501]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99999507  29.99999507] [130.00000493  30.00000493]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99999514  29.99999514] [130.00000486  30.00000486]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.99999522  29.99999522] [130.00000478  30.00000478]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.99999529  29.99999529] [130.00000471  30.00000471]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99999536  29.99999536] [130.00000464  30.00000464]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99999543  29.99999543] [130.00000457  30.00000457]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.9999955  29.9999955] [130.0000045  30.0000045]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99999557  29.99999557] [130.00000443  30.00000443]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.99999564  29.99999564] [130.00000436  30.00000436]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.9999957  29.9999957] [130.0000043  30.0000043]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99999577  29.99999577] [130.00000423  30.00000423]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99999583  29.99999583] [130.00000417  30.00000417]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.9999959  29.9999959] [130.0000041  30.0000041]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.99999596  29.99999596] [130.00000404  30.00000404]
iteration:  60,   current loss = 0.0000 , boundaries:  [129.99999602  29.99999602] [130.00000398  30.00000398]
iteration:  61,   current loss = 0.0000 , boundaries:  [129.99999608  29.99999608] [130.00000392  30.00000392]
iteration:  62,   current loss = 0.0000 , boundaries:  [129.99999614  29.99999614] [130.00000386  30.00000386]
iteration:  63,   current loss = 0.0000 , boundaries:  [129.9999962  29.9999962] [130.0000038  30.0000038]
iteration:  64,   current loss = 0.0000 , boundaries:  [129.99999626  29.99999626] [130.00000374  30.00000374]
iteration:  65,   current loss = 0.0000 , boundaries:  [129.99999632  29.99999632] [130.00000368  30.00000368]
iteration:  66,   current loss = 0.0000 , boundaries:  [129.99999637  29.99999637] [130.00000363  30.00000363]
iteration:  67,   current loss = 0.0000 , boundaries:  [129.99999643  29.99999643] [130.00000357  30.00000357]
iteration:  68,   current loss = 0.0000 , boundaries:  [129.99999648  29.99999648] [130.00000352  30.00000352]
iteration:  69,   current loss = 0.0000 , boundaries:  [129.99999654  29.99999654] [130.00000346  30.00000346]
iteration:  70,   current loss = 0.0000 , boundaries:  [129.99999659  29.99999659] [130.00000341  30.00000341]
iteration:  71,   current loss = 0.0000 , boundaries:  [129.99999664  29.99999664] [130.00000336  30.00000336]
iteration:  72,   current loss = 0.0000 , boundaries:  [129.99999669  29.99999669] [130.00000331  30.00000331]
iteration:  73,   current loss = 0.0000 , boundaries:  [129.99999674  29.99999674] [130.00000326  30.00000326]
iteration:  74,   current loss = 0.0000 , boundaries:  [129.99999679  29.99999679] [130.00000321  30.00000321]
iteration:  75,   current loss = 0.0000 , boundaries:  [129.99999684  29.99999684] [130.00000316  30.00000316]
iteration:  76,   current loss = 0.0000 , boundaries:  [129.99999689  29.99999689] [130.00000311  30.00000311]
iteration:  77,   current loss = 0.0000 , boundaries:  [129.99999694  29.99999694] [130.00000306  30.00000306]
iteration:  78,   current loss = 0.0000 , boundaries:  [129.99999698  29.99999698] [130.00000302  30.00000302]
iteration:  79,   current loss = 0.0000 , boundaries:  [129.99999703  29.99999703] [130.00000297  30.00000297]
iteration:  80,   current loss = 0.0000 , boundaries:  [129.99999707  29.99999707] [130.00000293  30.00000293]
iteration:  81,   current loss = 0.0000 , boundaries:  [129.99999712  29.99999712] [130.00000288  30.00000288]
iteration:  82,   current loss = 0.0000 , boundaries:  [129.99999716  29.99999716] [130.00000284  30.00000284]
iteration:  83,   current loss = 0.0000 , boundaries:  [129.99999721  29.99999721] [130.00000279  30.00000279]
iteration:  84,   current loss = 0.0000 , boundaries:  [129.99999725  29.99999725] [130.00000275  30.00000275]
iteration:  85,   current loss = 0.0000 , boundaries:  [129.99999729  29.99999729] [130.00000271  30.00000271]
iteration:  86,   current loss = 0.0000 , boundaries:  [129.99999733  29.99999733] [130.00000267  30.00000267]
iteration:  87,   current loss = 0.0000 , boundaries:  [129.99999737  29.99999737] [130.00000263  30.00000263]
iteration:  88,   current loss = 0.0000 , boundaries:  [129.99999741  29.99999741] [130.00000259  30.00000259]
iteration:  89,   current loss = 0.0000 , boundaries:  [129.99999745  29.99999745] [130.00000255  30.00000255]
iteration:  90,   current loss = 0.0000 , boundaries:  [129.99999749  29.99999749] [130.00000251  30.00000251]
iteration:  91,   current loss = 0.0000 , boundaries:  [129.99999753  29.99999753] [130.00000247  30.00000247]
iteration:  92,   current loss = 0.0000 , boundaries:  [129.99999757  29.99999757] [130.00000243  30.00000243]
