/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu501-14
vgg 1 0 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.9999901  29.9999901] [130.0000099  30.0000099]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.9999902  29.9999902] [130.0000098  30.0000098]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.9999903  29.9999903] [130.0000097  30.0000097]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.9999904  29.9999904] [130.0000096  30.0000096]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999049  29.99999049] [130.0000095  30.0000095]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999059  29.99999059] [130.00000941  30.00000941]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999068  29.99999068] [130.00000931  30.00000931]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999078  29.99999078] [130.00000922  30.00000922]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999087  29.99999087] [130.00000912  30.00000912]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999096  29.99999096] [130.00000903  30.00000903]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999105  29.99999105] [130.00000894  30.00000894]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999114  29.99999114] [130.00000885  30.00000885]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999123  29.99999123] [130.00000876  30.00000876]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999132  29.99999132] [130.00000867  30.00000867]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999141  29.99999141] [130.00000858  30.00000858]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999149  29.9999915 ] [130.00000849  30.00000849]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999158  29.99999158] [130.00000841  30.00000841]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999166  29.99999167] [130.00000832  30.00000832]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999175  29.99999175] [130.00000824  30.00000824]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999183  29.99999183] [130.00000815  30.00000816]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999191  29.99999192] [130.00000807  30.00000807]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99999199  29.999992  ] [130.00000799  30.00000799]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999208  29.99999208] [130.00000791  30.00000791]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999216  29.99999216] [130.00000783  30.00000783]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999223  29.99999224] [130.00000775  30.00000775]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999231  29.99999231] [130.00000767  30.00000767]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99999239  29.99999239] [130.00000759  30.00000759]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999247  29.99999247] [130.00000751  30.00000752]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.99999254  29.99999254] [130.00000744  30.00000744]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999262  29.99999262] [130.00000736  30.00000737]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999269  29.99999269] [130.00000729  30.00000729]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999276  29.99999277] [130.00000722  30.00000722]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99999284  29.99999284] [130.00000714  30.00000715]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99999291  29.99999291] [130.00000707  30.00000708]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99999298  29.99999298] [130.000007  30.000007]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999305  29.99999305] [130.00000693  30.00000693]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99999312  29.99999312] [130.00000686  30.00000686]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999319  29.99999319] [130.00000679  30.00000679]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999326  29.99999326] [130.00000672  30.00000673]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.99999332  29.99999333] [130.00000666  30.00000666]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999339  29.99999339] [130.00000659  30.00000659]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.99999346  29.99999346] [130.00000652  30.00000652]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99999352  29.99999353] [130.00000646  30.00000646]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99999359  29.99999359] [130.00000639  30.00000639]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99999365  29.99999366] [130.00000633  30.00000633]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99999372  29.99999372] [130.00000626  30.00000626]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99999378  29.99999378] [130.0000062  30.0000062]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.99999384  29.99999385] [130.00000614  30.00000614]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.99999391  29.99999391] [130.00000607  30.00000607]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99999397  29.99999397] [130.00000601  30.00000601]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99999403  29.99999403] [130.00000595  30.00000595]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.99999409  29.99999409] [130.00000589  30.00000589]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99999415  29.99999415] [130.00000583  30.00000583]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.99999421  29.99999421] [130.00000577  30.00000577]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.99999427  29.99999427] [130.00000571  30.00000571]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99999433  29.99999433] [130.00000566  30.00000566]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99999438  29.99999438] [130.0000056  30.0000056]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.99999444  29.99999444] [130.00000554  30.00000554]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.9999945  29.9999945] [130.00000548  30.00000548]
iteration:  60,   current loss = 0.0000 , boundaries:  [129.99999455  29.99999455] [130.00000543  30.00000543]
iteration:  61,   current loss = 0.0000 , boundaries:  [129.99999461  29.99999461] [130.00000537  30.00000537]
iteration:  62,   current loss = 0.0000 , boundaries:  [129.99999466  29.99999466] [130.00000532  30.00000532]
iteration:  63,   current loss = 0.0000 , boundaries:  [129.99999471  29.99999471] [130.00000527  30.00000527]
iteration:  64,   current loss = 0.0000 , boundaries:  [129.99999477  29.99999477] [130.00000521  30.00000521]
iteration:  65,   current loss = 0.0000 , boundaries:  [129.99999482  29.99999482] [130.00000516  30.00000516]
iteration:  66,   current loss = 0.0000 , boundaries:  [129.99999487  29.99999487] [130.00000511  30.00000511]
iteration:  67,   current loss = 0.0000 , boundaries:  [129.99999493  29.99999492] [130.00000506  30.00000505]
iteration:  68,   current loss = 0.0000 , boundaries:  [129.99999498  29.99999498] [130.000005  30.000005]
iteration:  69,   current loss = 0.0000 , boundaries:  [129.99999503  29.99999503] [130.00000495  30.00000495]
iteration:  70,   current loss = 0.0000 , boundaries:  [129.99999508  29.99999508] [130.0000049  30.0000049]
iteration:  71,   current loss = 0.0000 , boundaries:  [129.99999513  29.99999513] [130.00000485  30.00000485]
iteration:  72,   current loss = 0.0000 , boundaries:  [129.99999518  29.99999517] [130.0000048  30.0000048]
iteration:  73,   current loss = 0.0000 , boundaries:  [129.99999523  29.99999522] [130.00000476  30.00000475]
iteration:  74,   current loss = 0.0000 , boundaries:  [129.99999527  29.99999527] [130.00000471  30.00000471]
iteration:  75,   current loss = 0.0000 , boundaries:  [129.99999532  29.99999532] [130.00000466  30.00000466]
