/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu501-22
vgg 1 1 1 1 0 600
you asked for all points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99998998  29.99998998] [130.00001001  30.00001001]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99998997  29.99998997] [130.00001002  30.00001002]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99998995  29.99998995] [130.00001003  30.00001004]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99998993  29.99998993] [130.00001005  30.00001005]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99998992  29.99998992] [130.00001006  30.00001006]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.9999899  29.9999899] [130.00001007  30.00001007]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99998988  29.99998988] [130.00001008  30.00001008]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99998987  29.99998987] [130.00001009  30.0000101 ]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99998985  29.99998985] [130.0000101   30.00001011]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99998983  29.99998984] [130.00001012  30.00001012]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99998981  29.99998982] [130.00001013  30.00001013]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.9999898  29.9999898] [130.00001014  30.00001014]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99998978  29.99998979] [130.00001015  30.00001016]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99998976  29.99998977] [130.00001016  30.00001017]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99998975  29.99998975] [130.00001017  30.00001018]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99998973  29.99998974] [130.00001019  30.00001019]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99998971  29.99998972] [130.0000102  30.0000102]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99998969  29.9999897 ] [130.00001021  30.00001022]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99998968  29.99998968] [130.00001022  30.00001023]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99998966  29.99998967] [130.00001023  30.00001024]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99998964  29.99998965] [130.00001025  30.00001025]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99998963  29.99998963] [130.00001026  30.00001027]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99998961  29.99998962] [130.00001027  30.00001028]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99998959  29.9999896 ] [130.00001028  30.00001029]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99998957  29.99998958] [130.00001029  30.0000103 ]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99998956  29.99998957] [130.0000103   30.00001031]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99998954  29.99998955] [130.00001032  30.00001033]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99998952  29.99998953] [130.00001033  30.00001034]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.9999895   29.99998952] [130.00001034  30.00001035]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99998949  29.9999895 ] [130.00001035  30.00001036]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99998947  29.99998948] [130.00001037  30.00001038]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99998946  29.99998947] [130.00001038  30.00001039]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99998944  29.99998945] [130.00001039  30.0000104 ]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99998943  29.99998943] [130.00001041  30.00001041]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99998941  29.99998942] [130.00001042  30.00001043]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.9999894  29.9999894] [130.00001044  30.00001044]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99998938  29.99998938] [130.00001045  30.00001045]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99998937  29.99998937] [130.00001046  30.00001046]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99998935  29.99998935] [130.00001048  30.00001048]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.99998934  29.99998933] [130.00001049  30.00001049]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99998932  29.99998932] [130.00001051  30.0000105 ]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.9999893  29.9999893] [130.00001052  30.00001052]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99998929  29.99998928] [130.00001053  30.00001053]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99998927  29.99998926] [130.00001055  30.00001054]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99998925  29.99998925] [130.00001056  30.00001056]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99998924  29.99998923] [130.00001058  30.00001057]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99998922  29.99998921] [130.00001059  30.00001058]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.9999892  29.9999892] [130.0000106  30.0000106]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.99998919  29.99998918] [130.00001062  30.00001061]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99998917  29.99998916] [130.00001063  30.00001063]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99998915  29.99998915] [130.00001065  30.00001064]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.99998914  29.99998913] [130.00001066  30.00001065]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99998912  29.99998911] [130.00001067  30.00001067]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.9999891  29.9999891] [130.00001069  30.00001068]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.99998908  29.99998908] [130.0000107  30.0000107]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99998907  29.99998906] [130.00001072  30.00001071]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99998905  29.99998904] [130.00001073  30.00001072]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.99998903  29.99998903] [130.00001074  30.00001074]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.99998902  29.99998901] [130.00001076  30.00001075]
iteration:  60,   current loss = 0.0000 , boundaries:  [129.999989    29.99998899] [130.00001077  30.00001077]
iteration:  61,   current loss = 0.0000 , boundaries:  [129.99998898  29.99998897] [130.00001079  30.00001078]
iteration:  62,   current loss = 0.0000 , boundaries:  [129.99998896  29.99998896] [130.0000108   30.00001079]
iteration:  63,   current loss = 0.0000 , boundaries:  [129.99998895  29.99998894] [130.00001081  30.00001081]
iteration:  64,   current loss = 0.0000 , boundaries:  [129.99998893  29.99998892] [130.00001083  30.00001082]
iteration:  65,   current loss = 0.0000 , boundaries:  [129.99998891  29.99998891] [130.00001084  30.00001084]
iteration:  66,   current loss = 0.0000 , boundaries:  [129.99998889  29.99998889] [130.00001086  30.00001085]
iteration:  67,   current loss = 0.0000 , boundaries:  [129.99998888  29.99998887] [130.00001087  30.00001086]
iteration:  68,   current loss = 0.0000 , boundaries:  [129.99998886  29.99998885] [130.00001089  30.00001088]
iteration:  69,   current loss = 0.0000 , boundaries:  [129.99998884  29.99998884] [130.0000109   30.00001089]
iteration:  70,   current loss = 0.0000 , boundaries:  [129.99998883  29.99998882] [130.00001091  30.00001091]
iteration:  71,   current loss = 0.0000 , boundaries:  [129.99998881  29.9999888 ] [130.00001093  30.00001092]
iteration:  72,   current loss = 0.0000 , boundaries:  [129.99998879  29.99998878] [130.00001094  30.00001094]
iteration:  73,   current loss = 0.0000 , boundaries:  [129.99998877  29.99998877] [130.00001096  30.00001095]
iteration:  74,   current loss = 0.0000 , boundaries:  [129.99998876  29.99998875] [130.00001097  30.00001097]
