/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
gpu504-37
vgg 1 6 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999019  29.99999019] [130.00000981  30.00000981]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999038  29.99999038] [130.00000962  30.00000962]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999056  29.99999056] [130.00000944  30.00000944]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999074  29.99999074] [130.00000926  30.00000926]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999091  29.99999091] [130.00000909  30.00000909]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999109  29.99999109] [130.00000891  30.00000891]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999126  29.99999125] [130.00000874  30.00000874]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999142  29.99999142] [130.00000858  30.00000858]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999158  29.99999158] [130.00000842  30.00000842]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999174  29.99999174] [130.00000826  30.00000826]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.9999919  29.9999919] [130.0000081  30.0000081]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999205  29.99999205] [130.00000795  30.00000795]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999221  29.9999922 ] [130.0000078   30.00000779]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999235  29.99999235] [130.00000765  30.00000765]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.9999925  29.9999925] [130.0000075  30.0000075]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999264  29.99999264] [130.00000736  30.00000736]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999278  29.99999278] [130.00000722  30.00000722]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999292  29.99999292] [130.00000708  30.00000708]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999305  29.99999305] [130.00000695  30.00000695]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999318  29.99999318] [130.00000682  30.00000682]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999331  29.99999331] [130.00000669  30.00000669]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99999344  29.99999344] [130.00000656  30.00000656]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999356  29.99999356] [130.00000644  30.00000644]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999369  29.99999368] [130.00000631  30.00000631]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999381  29.9999938 ] [130.0000062   30.00000619]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999392  29.99999392] [130.00000608  30.00000608]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99999404  29.99999404] [130.00000596  30.00000596]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999415  29.99999415] [130.00000585  30.00000585]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.99999426  29.99999426] [130.00000574  30.00000574]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999437  29.99999437] [130.00000563  30.00000563]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999448  29.99999448] [130.00000552  30.00000552]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999458  29.99999458] [130.00000542  30.00000542]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99999469  29.99999468] [130.00000532  30.00000531]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99999479  29.99999478] [130.00000521  30.00000521]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99999488  29.99999488] [130.00000512  30.00000511]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999498  29.99999498] [130.00000502  30.00000502]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99999508  29.99999507] [130.00000492  30.00000492]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999517  29.99999517] [130.00000483  30.00000483]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999526  29.99999526] [130.00000474  30.00000474]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.99999535  29.99999535] [130.00000465  30.00000465]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999544  29.99999544] [130.00000456  30.00000456]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.99999553  29.99999552] [130.00000447  30.00000447]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99999561  29.99999561] [130.00000439  30.00000439]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99999569  29.99999569] [130.00000431  30.0000043 ]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99999578  29.99999577] [130.00000422  30.00000422]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99999586  29.99999585] [130.00000414  30.00000414]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99999594  29.99999593] [130.00000407  30.00000406]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.99999601  29.99999601] [130.00000399  30.00000399]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.99999609  29.99999609] [130.00000391  30.00000391]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99999616  29.99999616] [130.00000384  30.00000384]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99999623  29.99999623] [130.00000377  30.00000376]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.99999631  29.9999963 ] [130.00000369  30.00000369]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99999638  29.99999637] [130.00000362  30.00000362]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.99999645  29.99999644] [130.00000356  30.00000355]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.99999651  29.99999651] [130.00000349  30.00000349]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99999658  29.99999658] [130.00000342  30.00000342]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99999664  29.99999664] [130.00000336  30.00000336]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.99999671  29.99999671] [130.00000329  30.00000329]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.99999677  29.99999677] [130.00000323  30.00000323]
iteration:  60,   current loss = 0.0000 , boundaries:  [129.99999683  29.99999683] [130.00000317  30.00000317]
iteration:  61,   current loss = 0.0000 , boundaries:  [129.99999689  29.99999689] [130.00000311  30.00000311]
