/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu501-02
resnet 1 6 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999019  29.99999019] [130.00000981  30.00000981]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999038  29.99999038] [130.00000962  30.00000962]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999056  29.99999056] [130.00000944  30.00000944]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999074  29.99999074] [130.00000926  30.00000926]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999092  29.99999091] [130.00000909  30.00000909]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999109  29.99999109] [130.00000891  30.00000891]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999126  29.99999126] [130.00000874  30.00000874]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999142  29.99999142] [130.00000858  30.00000858]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999159  29.99999159] [130.00000841  30.00000841]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999175  29.99999175] [130.00000825  30.00000825]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.9999919  29.9999919] [130.0000081  30.0000081]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999206  29.99999206] [130.00000794  30.00000794]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999221  29.99999221] [130.00000779  30.00000779]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999236  29.99999236] [130.00000764  30.00000764]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.9999925  29.9999925] [130.0000075  30.0000075]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999264  29.99999264] [130.00000736  30.00000736]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999278  29.99999278] [130.00000722  30.00000722]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999292  29.99999292] [130.00000708  30.00000708]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999306  29.99999306] [130.00000694  30.00000694]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999319  29.99999319] [130.00000681  30.00000681]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999332  29.99999332] [130.00000668  30.00000668]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99999345  29.99999345] [130.00000656  30.00000656]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999357  29.99999357] [130.00000643  30.00000643]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999369  29.99999369] [130.00000631  30.00000631]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999381  29.99999381] [130.00000619  30.00000619]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999393  29.99999393] [130.00000607  30.00000607]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99999405  29.99999405] [130.00000595  30.00000596]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999416  29.99999416] [130.00000584  30.00000584]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.99999427  29.99999427] [130.00000573  30.00000573]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999438  29.99999438] [130.00000562  30.00000562]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999449  29.99999449] [130.00000551  30.00000552]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999459  29.99999459] [130.00000541  30.00000541]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.9999947  29.9999947] [130.00000531  30.00000531]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.9999948  29.9999948] [130.00000521  30.00000521]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.9999949  29.9999949] [130.00000511  30.00000511]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999499  29.99999499] [130.00000501  30.00000501]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99999509  29.99999509] [130.00000491  30.00000491]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999518  29.99999518] [130.00000482  30.00000482]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999527  29.99999527] [130.00000473  30.00000473]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.99999536  29.99999536] [130.00000464  30.00000464]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999545  29.99999545] [130.00000455  30.00000455]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.99999554  29.99999554] [130.00000446  30.00000446]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99999562  29.99999562] [130.00000438  30.00000438]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99999571  29.99999571] [130.0000043  30.0000043]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99999579  29.99999579] [130.00000421  30.00000421]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99999587  29.99999587] [130.00000413  30.00000413]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99999595  29.99999595] [130.00000405  30.00000406]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.99999602  29.99999603] [130.00000398  30.00000398]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.9999961  29.9999961] [130.0000039  30.0000039]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99999617  29.99999618] [130.00000383  30.00000383]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99999625  29.99999625] [130.00000375  30.00000376]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.99999632  29.99999632] [130.00000368  30.00000368]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99999639  29.99999639] [130.00000361  30.00000361]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.99999646  29.99999646] [130.00000354  30.00000355]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.99999652  29.99999653] [130.00000348  30.00000348]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99999659  29.99999659] [130.00000341  30.00000341]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99999666  29.99999666] [130.00000335  30.00000335]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.99999672  29.99999672] [130.00000328  30.00000328]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.99999678  29.99999678] [130.00000322  30.00000322]
iteration:  60,   current loss = 0.0000 , boundaries:  [129.99999684  29.99999684] [130.00000316  30.00000316]
iteration:  61,   current loss = 0.0000 , boundaries:  [129.9999969  29.9999969] [130.0000031  30.0000031]
